,user_name,user_location,user_description,user_verified,date,text,hashtags,favorite,retweet_count
0,NongSallypxxt,"Los Angeles, CA",,False,2022-09-09 06:27:47+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,ไฮทานิ งุง,,ตังกินไม่ได้ แล้วจะเก็บไว้ทำไม ft.ปล่อยของ,False,2022-09-09 06:21:21+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,_diary.pak🤍 เรียนบ้างแต่บ่นมากกว่าเรียน,,"📓Faculty of business,RU 🌟 เล็งคณะแพทย์ไว้ค้าบ หมายถึงแฟนนะ55555 🤍deksiw 🪐 Goal MED KKU 🩺 🧺make friends",False,2022-09-09 06:21:11+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,ชีโบ🍫 ft.อ่านหนังสือสอบGED,รักหยิ่นวอร์ที่สุดในโลก,ผมจะตามทุกคนที่ผมโดนตกฮะ,False,2022-09-09 06:20:49+00:00,มข.มอใจ https://t.co/bghWH0fJl9,[None],0,0
0,Meow meow,,,False,2022-09-09 06:20:35+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,บะลึกบะลักบะอึกบะอักอุ๋งๆ ☀️ HOT ☀️,,"แม่มะมิง
บางวันมัมหมา บางทีมัมเมีย
หวีดมิงแบบกระซิบ 
หวีดอีก12แบบตะโกน
💎 Carat since 2022 💎",False,2022-09-09 06:13:07+00:00,@mingem_k น้องมะม่วง ถาปัต มข. https://t.co/wN6L4Umu1p,[None],0,0
0,♡̷̷̷ yes / goal med kku51 /.,,🧁·˚ พร้อมให้กำลังใจทุกคน ส่วนรายละเอียดเรื่องการเรียน เค้าขอให้ประสบผลสำเร็จก่อนนะ ༘♡ ₊˚📝 #dek65 #dek66🎅🏻·˚ˎˊ˗ 🌨🛒 #metomedkku51 🩹🌧 ซิ่วอยู่บ้านงับ🏡,False,2022-09-09 06:12:48+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,BLUE,,Study with me📚📖📑  ขอให้ติดMDKKU,False,2022-09-09 06:11:55+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,victoria,,love is why i am here gurl since’2004 🦢in love🤍888/222 #victoriaisecongurl,False,2022-09-09 05:55:21+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,qq_,,🌊,False,2022-09-09 05:50:32+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,อย่าส่องทวิตนุ,,,False,2022-09-09 05:39:59+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,คนตัวดำ..,,ประสบการณ์ด้านมืด.................,False,2022-09-09 05:38:18+00:00,บรรยากาศมันได้....#ขอนแก่น #มข  #หลังมอ #fwbมข https://t.co/MmDvgilLwe,"[['ขอนแก่น', 'มข', 'หลังมอ', 'fwbมข']]",1,0
0,k.🫠,,,False,2022-09-09 05:37:50+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,📕รับสอนภาษาอังกฤษ,รีวิวการเรียน/ผลงานที่LIKESค่ะ,"สอนโดยพี่จบจากธรรมศาสตร์ (ผลงาน:น้องๆติดCommarts,BMIR,BEC,LLB,BJM,Russian Studies,PBIC,GAT100+,TU-GET600+,IELTS7.0+ฯลฯ) LineID: @xvn8161a(มี@/ตอบไวกว่า) หรือ DM",False,2022-09-09 05:32:40+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,เลาอยากเป็นนังฟ้า,,,False,2022-09-09 05:32:25+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,美霖,make friend 24/7🖐🏻🤍,dek65+1,False,2022-09-09 05:29:36+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,แฟรี่ก้อดมาเต้อจะเป็นคุณหมอ 🪄,mf 24/7,"𓈈 dek65.5 ⋆ ࣪.🚏goal : med rama , tu 🪐‧⁺。เป็นนางฟ้าแม่ทูลหัวและเป็นว่าที่คุณหมอ #fairygodoctor",False,2022-09-09 05:27:28+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,𝘓𝘢𝘤𝘦𝘳 𝘗𝘢𝘳𝘬𝘦𝘳~,Gemma Farley,,False,2022-09-09 05:23:39+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,Render,"I’m in twilight zone ࿐ ☾ 

† ☾ nightmare moon

★ ★ ☆
",#เรนเร้นแจก #เรนเร้นreview #เรนเร้นdesign #RNYartwork #เร้นดูดวง #เรนเร้นอัพเดท,False,2022-09-09 05:21:04+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,TaeTyiloveu💓🥀คุณแดนของน้อง🌟,,Wellcome enbz world🌍||chocolate 🍫||พื้นที่ส่วนตัว||เป็นคนธรรมดาที่ต้องการสีสันของชีวิต..|| @Bts_twt ❤️💛💚NCT💙💜||อยู่ทุกด้อม ติ่งทุกวง||❤️Daniel💓Wannaone,False,2022-09-09 05:14:17+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,แพ่ดมขคอลลิ่งมี,,"goal ; med kku , gks",False,2022-09-09 05:13:32+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,jj อยากติดหมอรามา,,ᚇ 𓈒 ֯ ֯ ⑅ 𓈒 𐬹🍴 GOLD; PONS bio ; be a med student 👩‍🔬𓈒 𐬹˳ ✿ ֯ ⑅ ᳝𝄞 𓈒 ᳝ 𐬹 ּ ֗ ִᚐ ֯ ♡⃘ ♡⃟𓈒 🦾,False,2022-09-09 05:11:13+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,เจ้าหยิงโซวอน🫧 ( FOREVER 1 ),my home is snsd,🐰💐🫧🛼🪴🧚🏻‍♀️✨🎆🧃🥟🎾🏄‍♀️🪥🤍♎️🌟🍄🐛🎯🩻💕,False,2022-09-09 05:10:45+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,Queen of Swords,,,False,2022-09-09 05:05:53+00:00,RT @tsp303nungta: สมเด็จพระเจ้าลูกเธอ เจ้าฟ้าพัชรกิติยาภา นเรนทิราเทพยวดี กรมหลวงราชสาริณีสิริพัชร มหาวัชรราชธิดา เสด็จพื้นที่ ต.พลวงทอง อ.…,[None],0,2
0,𝓢𝓜1 𝓟𝓱𝓾𝓬𝓱𝓸𝓷𝓰 𝓡𝓸𝓮𝓷𝓼𝓾𝓴𝓼𝓪𝓷,,❶❹❹❼,False,2022-09-09 05:03:15+00:00,RT @tsp303nungta: สมเด็จพระเจ้าลูกเธอ เจ้าฟ้าพัชรกิติยาภา นเรนทิราเทพยวดี กรมหลวงราชสาริณีสิริพัชร มหาวัชรราชธิดา เสด็จพื้นที่ ต.พลวงทอง อ.…,[None],0,2
0,ammp,,@oliviarodrigo 🤍💐,False,2022-09-09 05:03:06+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,꒰⭐️꒱,,falling for you,False,2022-09-09 05:02:59+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,sunshinexz,,"• 𝑬𝒗𝒆𝒓𝒚𝒕𝒉𝒊𝒏𝒈 𝒄𝒂𝒏 𝒄𝒉𝒂𝒏𝒈𝒆 𝒂𝒍𝒍 𝒕𝒉𝒆 𝒕𝒊𝒎𝒆 •
#dek66",False,2022-09-09 04:57:44+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,🦖,ดาวนาเม็ก,⌯’ㅅ’⌯,False,2022-09-09 04:56:39+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,มอมอ,,𝗺𝗳 𝗱𝗺 | #dek66 | ɢᴏᴀʟ : 𝐏𝐨𝐥𝐬𝐜𝐢 𝐈𝐑 𓏔 🍈🥛 ⌇ 🥖,False,2022-09-09 04:50:32+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,FINʕ•ᴥ•ʔ,บนโลก,#เด็กซิ่ว 65.5 อยากเป็นสัตวเเพทย์🐍 ซิ่วไปเรียนไป วิดยา psu 📣เเอดนี้ไม่ได้รีเรื่องเรียนอย่างเดียว รีทุกเรื่องที่อยากรู้,False,2022-09-09 04:46:11+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,meowdaisy🎀,"London, England",มัมหมีน้องน่วน 100%,False,2022-09-09 04:46:06+00:00,RT @nwskkk: ประกาศขายสัญญาหอ9หลังค่าาา สนใจDMมาได้เลย #หอพักมข #หอแปดหลัง #หอเก้าหลัง #หออินเตอร์ #หอใน #ทีมมข #มข #KKU https://t.co/BBPnuw…,"[['หอพักมข', 'หอแปดหลัง', 'หอเก้าหลัง', 'หออินเตอร์', 'หอใน', 'ทีมมข', 'มข', 'KKU']]",0,34
0,ขอปอว่าที่นศพ.มอขอ,태국,인생을 마음껏 누려라.♡‧₊˚✧ #dek66,False,2022-09-09 04:44:11+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
